,0
2315,reuter
2316,revalu
2317,reveal
2318,revenu
2319,revers
2320,revert
2321,review
2322,revis
2323,revisit
2324,reviv
2325,reward
2326,ric
2327,rich
2328,rig
2329,right
2330,rigid
2331,rise
2332,risen
2333,risk
2334,riski
2335,riskier
2336,rita
2337,road
2338,robust
2339,robustli
2340,rock
2341,role
2342,roll
2343,root
2344,rose
2345,rough
2346,roughli
2347,round
2348,row
2349,royal
2350,rpi
2351,rpix
2352,rpiy
2353,rule
2354,run
2355,rundown
2356,rural
2357,russia
2358,russian
2359,safe
2360,safer
2361,said
2362,salari
2363,sale
2364,sampl
2365,sanction
2366,sar
2367,satisfactori
2368,satisfi
2369,saudi
2370,save
2371,saver
2372,saw
2373,say
2374,scale
2375,scant
2376,scarc
2377,scarciti
2378,scatter
2379,scenario
2380,schedul
2381,scheme
2382,school
2383,scope
2384,score
2385,scotland
2386,scottish
2387,scrap
2388,scrappag
2389,se
2390,sea
2391,search
2392,season
2393,second
2394,secondari
2395,section
2396,sector
2397,secular
2398,secur
2399,securitis
2400,see
2401,seek
2402,seeker
2403,seem
2404,seen
2405,segment
2406,select
2407,self
2408,sell
2409,seller
2410,semi
2411,senior
2412,sens
2413,sensibl
2414,sensit
2415,sentiment
2416,separ
2417,septemb
2418,seri
2419,seriou
2420,serious
2421,serv
2422,servic
2423,set
2424,setter
2425,settl
2426,settlement
2427,seven
2428,seventh
2429,sever
2430,sewerag
2431,shade
2432,shadow
2433,shale
2434,shallow
2435,shape
2436,share
2437,sharehold
2438,sharp
2439,sharper
2440,sharpest
2441,sharpli
2442,shed
2443,sheet
2444,shelter
2445,shield
2446,shift
2447,shock
2448,shop
2449,short
2450,shortag
2451,shorter
2452,shortfal
2453,shortli
2454,show
2455,shown
2456,shrink
2457,shrunk
2458,shutdown
2459,sick
2460,side
2461,sight
2462,sign
2463,signal
2464,signific
2465,significantli
2466,similar
2467,similarli
2468,simpl
2469,simpli
2470,simplif
2471,simplifi
2472,simul
2473,simultan
2474,sinc
2475,singapor
2476,singl
2477,sit
2478,site
2479,situat
2480,six
2481,sixth
2482,sizabl
2483,size
2484,skew
2485,skill
2486,slack
2487,slacken
2488,slice
2489,slight
2490,slightli
2491,slip
2492,slope
2493,slow
2494,slowdown
2495,slower
2496,slowest
2497,slowli
2498,sluggish
2499,sluggishli
2500,small
2501,smallcap
2502,smaller
2503,smallest
2504,sme
2505,smmt
2506,smooth
2507,smoother
2508,snow
2509,snowfal
2510,social
2511,societi
2512,soft
2513,soften
2514,softer
2515,softwar
2516,sold
2517,sole
2518,solid
2519,solidli
2520,solow
2521,solvenc
2522,someon
2523,sometim
2524,somewhat
2525,somewher
2526,soon
2527,sooner
2528,sort
2529,sought
2530,sourc
2531,south
2532,sovereign
2533,spain
2534,span
2535,spanish
2536,spare
2537,speak
2538,special
2539,specialis
2540,specialist
2541,specif
2542,specifi
2543,spectrum
2544,specul
2545,speed
2546,spell
2547,spend
2548,spent
2549,spike
2550,spill
2551,spillov
2552,spite
2553,split
2554,spot
2555,spread
2556,spring
2557,spur
2558,spv
2559,squeez
2560,sr
2561,stabil
2562,stabilis
2563,stabl
2564,staf
2565,staff
2566,stage
2567,stagnant
2568,stagnat
2569,stall
2570,stamp
2571,stanc
2572,stand
2573,standard
2574,standstil
2575,start
2576,state
2577,statement
2578,station
2579,statist
2580,statistician
2581,statu
2582,statutori
2583,stay
2584,steadi
2585,steadili
2586,steel
2587,steep
2588,steepen
2589,steeper
2590,steepli
2591,stem
2592,step
2593,sterl
2594,stick
2595,sticki
2596,still
2597,stimul
2598,stimulatori
2599,stimulu
2600,stock
2601,stockbuild
2602,stockhold
2603,stockton
2604,stood
2605,stop
2606,storag
2607,store
2608,stori
2609,stoxx
2610,straightforward
2611,strain
2612,strategi
2613,stream
2614,street
2615,strength
2616,strengthen
2617,stress
2618,stretch
2619,strictli
2620,strike
2621,strip
2622,strong
2623,stronger
2624,strongest
2625,strongli
2626,structur
2627,struggl
2628,student
2629,studi
2630,stylis
2631,sub
2632,subcompon
2633,subdu
2634,subject
2635,submit
2636,subsect
2637,subsector
2638,subsequ
2639,subset
2640,subsid
2641,subsidi
2642,subsidiari
2643,substanti
2644,substitut
2645,subtract
2646,succeed
2647,success
2648,sudden
2649,suffer
2650,suffici
2651,suggest
2652,suit
2653,suitabl
2654,sum
2655,summari
2656,summaris
2657,summer
2658,supermarket
2659,supervis
2660,supplement
2661,suppli
2662,supplier
2663,support
2664,suppos
2665,suppress
2666,sure
2667,surg
2668,surpass
2669,surplu
2670,surplus
2671,surpris
2672,surprisingli
2673,surround
2674,survey
2675,surveyor
2676,surviv
2677,suscept
2678,suspend
2679,suspens
2680,sustain
2681,svr
2682,swap
2683,swath
2684,swiftli
2685,swing
2686,switch
2687,symmetr
2688,symptomat
2689,synchronis
2690,syndic
2691,system
2692,systemat
2693,tabl
2694,tackl
2695,tail
2696,take
2697,taken
2698,tandem
2699,tangibl
2700,tankan
2701,tap
2702,target
2703,tariff
2704,task
2705,taught
2706,tax
2707,taxat
2708,teacher
2709,tech
2710,technic
2711,techniqu
2712,technolog
2713,telecom
2714,telecommun
2715,telephon
2716,televis
2717,tell
2718,temper
2719,temperatur
2720,temporari
2721,temporarili
2722,ten
2723,tend
2724,tendenc
2725,tension
2726,tent
2727,tenth
2728,tenur
2729,term
2730,terror
2731,terrorist
2732,test
2733,text
2734,textil
2735,tfp
2736,thailand
2737,thaw
2738,theme
2739,theori
2740,thereaft
2741,therebi
2742,therefor
2743,thing
2744,think
2745,third
2746,thirteen
2747,thirti
2748,though
2749,thought
2750,thousand
2751,threat
2752,threaten
2753,three
2754,threshold
2755,throughout
2756,thu
2757,tick
2758,ticket
2759,tie
2760,tier
2761,tight
2762,tighten
2763,tighter
2764,time
2765,timeli
2766,timelin
2767,timer
2768,tip
2769,tmt
2770,tobacco
2771,today
2772,togeth
2773,told
2774,toler
2775,tone
2776,took
2777,tool
2778,toolkit
2779,top
2780,topix
2781,total
2782,touch
2783,tourism
2784,tourist
2785,toward
2786,tpi
2787,track
2788,tracker
2789,traction
2790,tradabl
2791,trade
2792,tradeabl
2793,trader
2794,tradit
2795,train
2796,trajectori
2797,transact
2798,transfer
2799,transient
2800,transit
2801,transitori
2802,translat
2803,transmiss
2804,transmit
2805,transpar
2806,transport
2807,travel
2808,treasuri
2809,treat
2810,treatment
2811,trebl
2812,trend
2813,trendssurvey
2814,tri
2815,trigger
2816,trillion
2817,trim
2818,trip
2819,tripl
2820,trough
2821,true
2822,trust
2823,truste
2824,tsunami
2825,tuition
2826,turbul
2827,turkey
2828,turmoil
2829,turn
2830,turnaround
2831,turnov
2832,twelv
2833,twenti
2834,twice
2835,twin
2836,two
2837,type
2838,typic
2839,uk
2840,ukrain
2841,ultim
2842,unabl
2843,unadjust
2844,unaffect
2845,unanim
2846,unanticip
2847,unavail
2848,uncertain
2849,uncertainti
2850,unchang
2851,unclear
2852,unconvent
2853,underemploy
2854,underestim
2855,undergo
2856,undergradu
2857,underli
2858,undermin
2859,underperform
2860,underpin
2861,underpredict
2862,underrecord
2863,undershoot
2864,underspend
2865,underst
2866,understand
2867,understood
2868,undertak
2869,undertaken
2870,undertook
2871,underutilis
2872,underwrit
2873,undesir
2874,unemploy
2875,uneven
2876,unexpect
2877,unexpectedli
2878,unexplain
2879,unfil
2880,unfold
2881,unfortun
2882,unguarante
2883,uniform
2884,uniformli
2885,union
2886,uniqu
2887,unit
2888,univers
2889,unless
2890,unlik
2891,unlock
2892,unobserv
2893,unpaid
2894,unplan
2895,unpreced
2896,unpredict
2897,unprofit
2898,unrealist
2899,unrel
2900,unrest
2901,unrevis
2902,unsatisfi
2903,unseason
2904,unsecur
2905,unsettl
2906,unskil
2907,unsold
2908,unsur
2909,unsustain
2910,unus
2911,unusu
2912,unwant
2913,unwarr
2914,unwelcom
2915,unwil
2916,unwind
2917,unwound
2918,up
2919,upbeat
2920,updat
2921,upgrad
2922,upheav
2923,uplift
2924,upon
2925,upper
2926,uprat
2927,upsid
2928,upsw
2929,upturn
2930,upward
2931,upwardli
2932,us
2933,usag
2934,use
2935,user
2936,usual
2937,util
2938,utilis
2939,uv
2940,vacanc
2941,valu
2942,valuabl
2943,valuat
2944,vari
2945,variabl
2946,varianc
2947,variat
2948,varieti
2949,variou
2950,vast
2951,vat
2952,veget
2953,vehicl
2954,veloc
2955,venezuela
2956,versa
2957,version
2958,vertic
2959,via
2960,viabil
2961,viabl
2962,vice
2963,view
2964,vigor
2965,vigour
2966,vintag
2967,virtual
2968,visibl
2969,visit
2970,visitor
2971,visual
2972,volatil
2973,volum
2974,voluntari
2975,voluntarili
2976,vote
2977,vs
2978,vulner
2979,wage
2980,wait
2981,wake
2982,wale
2983,wane
2984,want
2985,war
2986,wari
2987,warm
2988,warn
2989,warrant
2990,wash
2991,wast
2992,water
2993,wave
2994,way
2995,weak
2996,weaken
2997,weaker
2998,weakest
2999,weakli
3000,wealth
3001,wear
3002,weather
3003,wed
3004,wedg
3005,week
3006,weekend
3007,weekli
3008,weigh
3009,weight
3010,welcom
3011,welfar
3012,well
3013,west
3014,wet
3015,wftc
3016,whatev
3017,wheat
3018,wherea
3019,whether
3020,white
3021,whole
3022,wholesal
3023,wholli
3024,whose
3025,wide
3026,widen
3027,wider
3028,widespread
3029,widow
3030,width
3031,will
3032,willing
3033,win
3034,windfal
3035,window
3036,winter
3037,wish
3038,withdraw
3039,withdrawn
3040,withdrew
3041,within
3042,without
3043,women
3044,word
3045,wore
3046,work
3047,worker
3048,workforc
3049,workplac
3050,world
3051,worldwid
3052,worri
3053,wors
3054,worsen
3055,worst
3056,worth
3057,would
3058,wr
3059,write
3060,written
3061,wrote
3062,wtd
3063,wti
3064,xperthr
3065,yardstick
3066,year
3067,yearli
3068,yen
3069,yet
3070,yield
3071,yougov
3072,young
3073,younger
3074,youth
3075,zero
